,Unnamed: 0,Unnamed: 0.1,index_label,Year,Month,Day,Day of Week,Hour,temp,precip_hrly,wspd,count,supply,en,out,ds
0,0,0,1,2019.0,2.0,1.0,5.0,0.0,58.0,0.0,0.0,41.0,757.5,15.0,27.0,0.05412541254125412
1,1,1,2,2019.0,2.0,1.0,5.0,1.0,57.5,0.0,0.0,33.0,757.5,6.0,22.0,0.04356435643564356
2,2,2,3,2019.0,2.0,1.0,5.0,2.0,57.0,0.0,0.0,14.0,757.5,15.0,10.0,0.018481848184818482
3,3,3,4,2019.0,2.0,1.0,5.0,3.0,57.0,0.0,0.0,11.0,757.5,6.0,6.0,0.014521452145214522
4,4,4,5,2019.0,2.0,1.0,5.0,4.0,57.0,0.0,1.0,5.0,757.5,0.0,3.0,0.006600660066006601
5,5,5,6,2019.0,2.0,1.0,5.0,5.0,57.0,0.0,1.5,3.0,757.5,1.0,1.0,0.0039603960396039604
6,6,6,7,2019.0,2.0,1.0,5.0,6.0,58.0,0.0,3.0,6.0,757.5,4.0,5.0,0.007920792079207921
7,7,7,8,2019.0,2.0,1.0,5.0,7.0,58.0,0.0,5.0,28.0,757.5,4.0,30.0,0.036963696369636964
8,8,8,9,2019.0,2.0,1.0,5.0,8.0,58.0,0.0,5.75,82.0,757.5,12.0,68.0,0.10825082508250825
9,9,9,10,2019.0,2.0,1.0,5.0,9.0,58.66666666666666,0.0,5.333333333333333,81.0,757.5,15.0,72.0,0.10693069306930693
10,10,10,11,2019.0,2.0,1.0,5.0,10.0,61.0,0.0,6.0,138.0,757.5,20.0,92.0,0.18217821782178217
11,11,11,12,2019.0,2.0,1.0,5.0,11.0,63.0,0.0,8.0,120.0,757.5,37.0,69.0,0.15841584158415842
12,12,12,13,2019.0,2.0,1.0,5.0,12.0,64.5,0.0,5.5,119.0,757.5,56.0,63.0,0.1570957095709571
13,13,13,14,2019.0,2.0,1.0,5.0,13.0,66.0,0.0,3.0,115.0,757.5,49.0,68.0,0.15181518151815182
14,14,14,15,2019.0,2.0,1.0,5.0,14.0,66.0,0.0,0.0,77.0,757.5,53.0,41.0,0.10165016501650165
15,15,15,16,2019.0,2.0,1.0,5.0,15.0,67.0,0.0,0.0,75.0,757.5,55.0,42.0,0.09900990099009901
16,16,16,17,2019.0,2.0,1.0,5.0,16.0,67.0,0.0,8.0,53.0,757.5,51.0,31.0,0.06996699669966996
17,17,17,18,2019.0,2.0,1.0,5.0,17.0,65.0,0.0,8.0,83.0,757.5,44.0,49.0,0.10957095709570958
18,18,18,19,2019.0,2.0,1.0,5.0,18.0,64.0,0.0,7.0,60.0,757.5,30.0,47.0,0.07920792079207921
19,19,19,20,2019.0,2.0,1.0,5.0,19.0,63.0,0.0,3.0,88.0,757.5,32.0,47.0,0.11617161716171617
20,20,20,21,2019.0,2.0,1.0,5.0,20.0,61.0,0.0,0.0,52.0,757.5,41.0,30.0,0.06864686468646865
21,21,21,22,2019.0,2.0,1.0,5.0,21.0,60.0,0.0,3.0,79.0,757.5,55.0,36.0,0.1042904290429043
22,22,22,23,2019.0,2.0,1.0,5.0,22.0,61.0,0.0,7.0,62.0,757.5,44.0,24.0,0.08184818481848184
23,23,23,24,2019.0,2.0,1.0,5.0,23.0,62.0,0.0,7.0,90.0,757.5,46.0,40.0,0.1188118811881188
24,24,24,25,2019.0,2.0,2.0,6.0,0.0,61.33333333333334,0.0,6.0,65.0,668.0,29.0,36.0,0.09730538922155689
25,25,25,26,2019.0,2.0,2.0,6.0,1.0,61.0,0.0,5.5,41.0,668.0,19.0,23.0,0.061377245508982034
26,26,26,27,2019.0,2.0,2.0,6.0,2.0,61.0,0.0,8.0,40.0,668.0,14.0,21.0,0.059880239520958084
27,27,27,28,2019.0,2.0,2.0,6.0,3.0,61.0,0.0,6.0,31.0,668.0,7.0,13.0,0.04640718562874251
28,28,28,29,2019.0,2.0,2.0,6.0,4.0,61.0,0.0,5.0,3.0,668.0,6.0,3.0,0.004491017964071856
29,29,29,30,2019.0,2.0,2.0,6.0,5.0,60.0,0.0,0.0,5.0,668.0,2.0,4.0,0.0074850299401197605
30,30,30,31,2019.0,2.0,2.0,6.0,6.0,60.0,0.0,7.0,5.0,668.0,2.0,3.0,0.0074850299401197605
31,31,31,32,2019.0,2.0,2.0,6.0,7.0,60.0,0.0,2.5,4.0,668.0,0.0,1.0,0.005988023952095809
32,32,32,33,2019.0,2.0,2.0,6.0,8.0,60.0,0.0,1.0,21.0,668.0,4.0,10.0,0.03143712574850299
33,33,33,34,2019.0,2.0,2.0,6.0,9.0,60.5,0.0,4.0,19.0,668.0,8.0,15.0,0.02844311377245509
34,34,34,35,2019.0,2.0,2.0,6.0,10.0,62.0,0.0,6.0,44.0,668.0,17.0,30.0,0.0658682634730539
35,35,35,36,2019.0,2.0,2.0,6.0,11.0,63.0,0.0,5.5,54.0,668.0,22.0,30.0,0.08083832335329341
36,36,36,37,2019.0,2.0,2.0,6.0,12.0,64.0,0.0,7.0,55.0,668.0,45.0,43.0,0.08233532934131736
37,37,37,38,2019.0,2.0,2.0,6.0,13.0,64.0,0.0,0.0,65.0,668.0,54.0,54.0,0.09730538922155689
38,38,38,39,2019.0,2.0,2.0,6.0,14.0,66.0,0.0,6.0,57.0,668.0,49.0,28.0,0.08532934131736528
